ParentSKU;	SKU;	ColorName;	InternetName;	InternetTxt;	Q1;	Q2;	Q3;	Q4;	Q5;	Q6;	P1;	P2;	P3;	P4;	P5;	P6;	GrossNett;	ImprintType_IL1_T1;	ImprintDescription_IL1_T1;	ImprintImage_IL1_T1;	PriceClass_IL1_T1;	PriceClass_IL1_CN;	SetupFee_IL1_T1;	SetupFee_IL1_T1_NextColor;	SetupFeeStructure_IL1_T1;	ExcludeFreeSetupCosts_IL1_T1;	ImprintSize_IL1_T1;	MaxColors_IL1_T1;	Handling_IL1_T1;	ImprintType_IL1_T2;	ImprintDescription_IL1_T2;	ImprintImage_IL1_T2;	PriceClass_IL1_T2;	PriceClass_IL1_CN2;	SetupFee_IL1_T2;	SetupFee_IL1_T2_NextColor;	SetupFeeStructure_IL1_T2;	ExcludeFreeSetupCosts_IL1_T2;	ImprintSize_IL1_T2;	MaxColors_IL1_T2;	Handling_IL1_T2	ImprintType_IL1_T3;	ImprintDescription_IL1_T3;	ImprintImage_IL1_T3	PriceClass_IL1_T3;	PriceClass_IL1_CN3;	SetupFee_IL1_T3;	SetupFee_IL1_T3_NextColor;	SetupFeeStructure_IL1_T3;	ExcludeFreeSetupCosts_IL1_T3;	ImprintSize_IL1_T3;	MaxColors_IL1_T3;	Handling_IL1_T3;	ImprintType_IL1_T4;	ImprintDescription_IL1_T4;	ImprintImage_IL1_T4;	PriceClass_IL1_T4;	PriceClass_IL1_CN4;	SetupFee_IL1_T4;	SetupFee_IL1_T4_NextColor;	SetupFeeStructure_IL1_T4;	ExcludeFreeSetupCosts_IL1_T4;	ImprintSize_IL1_T4;	MaxColors_IL1_T4;	Handling_IL1_T4	ImprintType_IL1_T5;	ImprintDescription_IL1_T5;	ImprintImage_IL1_T5	PriceClass_IL1_T5;	PriceClass_IL1_CN5;	SetupFee_IL1_T5;	SetupFee_IL1_T5_NextColor;	SetupFeeStructure_IL1_T5;	ExcludeFreeSetupCosts_IL1_T5;	ImprintSize_IL1_T5;	MaxColors_IL1_T5;	Handling_IL1_T5	ImprintType_IL1_T6;	ImprintDescription_IL1_T6;	ImprintImage_IL1_T6;	PriceClass_IL1_T6;	PriceClass_IL1_CN6;	SetupFee_IL1_T6;	SetupFee_IL1_T6_NextColor;	SetupFeeStructure_IL1_T6;	ExcludeFreeSetupCosts_IL1_T6;	ImprintSize_IL1_T6;	MaxColors_IL1_T6;	Handling_IL1_T6;	IntraCode;	CountryOfOrigin;	OuterCartonPieces;	OuterCartonLength;	OuterCartonWidth;	OuterCartonHeight;	CommercialItemLength;	CommercialItemWidth;	CommercialItemHeight;	CommercialItemWeight;	Flavours;	Sizes;	WritingColor;	CapacityTxt;	OrderUnit;	MainGroup;	Material;	BatteryType;	NumberOfBatteries;	ProductImageURL;	DeliveryTimeMT_IL1_T1;	07_12_SearchTerms;	Q_OnPallet;	Brandnames;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TARGET Kompas;AR1249-16;matt silver;Kompas;Kontor & Arbejde;50;100;250;;2500;5000;44,21;40,19;37,53;34,96;33,32;31,73;;TOP COMPASS;lasergravering;;L3;;23,4;;;;5x25 cm;;;TOP BOX;Digitalt klistermærke;;DL;;38,02;;;;40x60 cm;;;TOP BOX;lasergravering;;L3;;23,4;;;;40x60 cm;;;LASER COMPASS;lasergravering;;L3;;23,4;;;;55x55 cm;;;PD BOX;Digitalt print;;PD3;;45,82;;;;82x105 cm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Kontor & Arbejde;;;;;;;;
BASICS Lommeregner solceller;AR1253-16;matt silver;Lommeregner solceller;Kontor & Arbejde;50;100;250;;2500;5000;40,46;36,78;34,36;32,00;30,50;29,04;;BELOW BUTTONS;Tamponprint;;P3;;38,02;;;;9x65 cm;;;RIGHT OF SOLAR CEL;Tamponprint;;P3;;38,02;;;;8x25 cm;;;LEFT OF SOLAR CEL;Tamponprint;;P3;;38,02;;;;8x25 cm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Kontor & Arbejde;;;;;;;;
HIGH PARK Picnic rygsæk;AR1470-01;brown;Picnic rygsæk;Fritid & Udeliv;25;50;100;;2500;5000;500,96;455,47;425,31;396,18;377,65;359,58;;FRONT POCKET;Serigrafi;;S5;;38,02;;;;120x140 cm;;;FRONT TRANSFER;Skærmtransfer;;T1;;38,02;;;;140x140 cm;;;FRONT TRANSFER;Digital transfer;;TD1;;53,24;;;;140x140 cm;;;TOP;Digital transfer;;TD1;;53,24;;;;100x190 cm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Fritid & Udeliv;;;;;;;;
COLUMBUS Nøglering i PU læder;AR1589-03;black;Nøglering i PU læder;Nøgleringe & Nøglesnore;125;250;500;;2500;5000;17,03;15,48;14,46;13,47;12,85;12,24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nøgleringe & Nøglesnore;;;;;;;;
NOTELUX 96 siders notesbog;AR1800-05;red;96 siders notesbog;Muistikirjat & Muistivihkot;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Muistikirjat & Muistivihkot;;;;;;;;
NOTELUX 96 siders notesbog;AR1800-10;orange;96 siders notesbog;Muistikirjat & Muistivihkot;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Muistikirjat & Muistivihkot;;;;;;;;
NOTELUX 96 siders notesbog;AR1800-12;turquoise;96 siders notesbog;Muistikirjat & Muistivihkot;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Muistikirjat & Muistivihkot;;;;;;;;
NOTELUX 96 siders notesbog;AR1800-48;lime;96 siders notesbog;Muistikirjat & Muistivihkot;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Muistikirjat & Muistivihkot;;;;;;;;
ARCONOT A5 notesbog;AR1804-03;black;A5 notesbog;Muistikirjat & Muistivihkot;125;250;500;;2500;5000;14,84;13,50;12,60;11,74;11,19;10,67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Muistikirjat & Muistivihkot;;;;;;;;
ARCONOT A5 notesbog;AR1804-04;blue;A5 notesbog;Muistikirjat & Muistivihkot;125;250;500;;2500;5000;14,84;13,50;12,60;11,74;11,19;10,67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Muistikirjat & Muistivihkot;;;;;;;;
